자치구,동,유치원,초등학교,중학교,고등학교,합계
송파구,가락1동,1,1,0,0,2
송파구,가락2동,4,2,2,0,8
송파구,가락본동,2,2,2,0,6
구로구,가리봉동,0,0,0,0,0
금천구,가산동,1,0,0,0,1
강서구,가양1동,0,1,0,0,1
강서구,가양2동,5,1,2,2,10
강서구,가양3동,3,1,1,1,6
종로구,가회동,1,2,0,0,3
은평구,갈현1동,1,0,1,0,2
은평구,갈현2동,4,2,2,5,13
강동구,강일동,1,1,2,1,5
구로구,개봉1동,2,1,2,0,5
구로구,개봉2동,5,1,0,0,6
구로구,개봉3동,1,2,1,0,4
강남구,개포1동,0,1,1,0,2
강남구,개포2동,3,1,2,3,9
강남구,개포4동,1,2,0,1,4
송파구,거여1동,0,1,0,1,2
송파구,거여2동,2,1,1,0,4
강동구,고덕1동,2,2,2,2,8
강동구,고덕2동,2,2,1,1,6
구로구,고척1동,1,2,1,1,5
구로구,고척2동,1,3,1,1,6
마포구,공덕동,2,1,0,0,3
노원구,공릉1동,10,3,1,1,15
노원구,공릉2동,4,4,2,1,11
강서구,공항동,1,1,2,0,4
광진구,광장동,5,3,3,1,12
중구,광희동,0,0,0,0,0
종로구,교남동,0,0,0,0,0
구로구,구로1동,3,1,1,1,6
구로구,구로2동,1,1,0,1,3
구로구,구로3동,2,2,0,0,4
구로구,구로4동,4,1,3,0,8
구로구,구로5동,1,2,0,1,4
은평구,구산동,4,3,3,3,13
광진구,구의1동,2,0,1,1,4
광진구,구의2동,4,2,0,0,6
광진구,구의3동,1,1,0,0,2
광진구,군자동,3,2,0,0,5
성동구,금호1가동,1,1,0,0,2
성동구,금호2.3가동,1,1,0,0,2
성동구,금호4가동,2,2,0,0,4
강동구,길동,6,3,1,0,10
성북구,길음1동,5,3,1,0,9
성북구,길음2동,1,0,0,0,1
관악구,낙성대동,2,0,0,0,2
관악구,난곡동,4,0,1,0,5
관악구,난향동,0,0,0,0,0
서대문구,남가좌1동,0,0,0,0,0
서대문구,남가좌2동,4,1,1,0,6
용산구,남영동,0,0,0,0,0
관악구,남현동,1,1,0,0,2
서초구,내곡동,0,1,0,0,1
동작구,노량진1동,2,0,0,0,2
