자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
종로구,사직동,8,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로5가, 동묘앞, 창신"
종로구,삼청동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로6가, 동묘앞, 창신"
종로구,부암동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로7가, 동묘앞, 창신"
종로구,평창동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로8가, 동묘앞, 창신"
종로구,무악동,3,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로9가, 동묘앞, 창신"
종로구,교남동,1,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로10가, 동묘앞, 창신"
종로구,가회동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로11가, 동묘앞, 창신"
종로구,종로1.2.3.4가동,9,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로12가, 동묘앞, 창신"
종로구,종로5·6가동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로13가, 동묘앞, 창신"
종로구,이화동,1,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로14가, 동묘앞, 창신"
종로구,창신1동,3,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로15가, 동묘앞, 창신"
종로구,창신2동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로16가, 동묘앞, 창신"
종로구,창신3동,1,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로17가, 동묘앞, 창신"
종로구,숭인1동,3,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로18가, 동묘앞, 창신"
종로구,숭인2동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로19가, 동묘앞, 창신"
종로구,청운효자동,0,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로20가, 동묘앞, 창신"
종로구,혜화동,2,"종각, 경복궁, 혜화, 안국, 종로3가, 동대문, 광화문, 종로21가, 동묘앞, 창신"
중구,소공동,3,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로4가, 청구, 버티고개"
중구,회현동,1,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로5가, 청구, 버티고개"
중구,명동,0,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로6가, 청구, 버티고개"
중구,필동,0,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로7가, 청구, 버티고개"
중구,장충동,0,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로8가, 청구, 버티고개"
중구,광희동,2,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로9가, 청구, 버티고개"
중구,을지로동,2,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로10가, 청구, 버티고개"
중구,신당5동,0,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로11가, 청구, 버티고개"
중구,황학동,2,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로12가, 청구, 버티고개"
중구,중림동,2,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로13가, 청구, 버티고개"
중구,신당동,6,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로14가, 청구, 버티고개"
중구,다산동,0,"시청, 서울, 명동, 충무로, 을지로3가, 을지로입구, 동대문역사문화공원, 회현, 동대입구, 신당, 약수, 을지로15가, 청구, 버티고개"
