자치구,동,범죄발생횟수,순위,기준(숫자 높을수록 위험)
종로구,사직동,3690,14,3
종로구,삼청동,3690,14,3
종로구,부암동,3690,14,3
종로구,평창동,3690,14,3
종로구,무악동,3690,14,3
종로구,교남동,3690,14,3
종로구,가회동,3690,14,3
종로구,종로1.2.3.4가동,3690,14,3
종로구,종로5·6가동,3690,14,3
종로구,이화동,3690,14,3
종로구,창신1동,3690,14,3
종로구,창신2동,3690,14,3
종로구,창신3동,3690,14,3
종로구,숭인1동,3690,14,3
종로구,숭인2동,3690,14,3
종로구,청운효자동,3690,14,3
종로구,혜화동,3690,14,3
중구,소공동,4030,10,2
중구,회현동,4030,10,2
중구,명동,4030,10,2
중구,필동,4030,10,2
중구,장충동,4030,10,2
중구,광희동,4030,10,2
중구,을지로동,4030,10,2
중구,신당5동,4030,10,2
중구,황학동,4030,10,2
중구,중림동,4030,10,2
중구,신당동,4030,10,2
중구,다산동,4030,10,2
중구,약수동,4030,10,2
중구,청구동,4030,10,2
중구,동화동,4030,10,2
용산구,후암동,3411,19,4
용산구,용산2가동,3411,19,4
용산구,남영동,3411,19,4
용산구,원효로2동,3411,19,4
용산구,효창동,3411,19,4
용산구,용문동,3411,19,4
용산구,이촌1동,3411,19,4
용산구,이촌2동,3411,19,4
용산구,이태원1동,3411,19,4
용산구,이태원2동,3411,19,4
용산구,서빙고동,3411,19,4
용산구,보광동,3411,19,4
용산구,청파동,3411,19,4
용산구,원효로1동,3411,19,4
용산구,한강로동,3411,19,4
용산구,한남동,3411,19,4
성동구,왕십리2동,2457,24,5
성동구,마장동,2457,24,5
성동구,사근동,2457,24,5
성동구,행당1동,2457,24,5
성동구,행당2동,2457,24,5
성동구,응봉동,2457,24,5
성동구,금호1가동,2457,24,5
성동구,금호4가동,2457,24,5
성동구,성수1가1동,2457,24,5
성동구,성수1가2동,2457,24,5
성동구,성수2가1동,2457,24,5
성동구,성수2가3동,2457,24,5
성동구,송정동,2457,24,5
성동구,용답동,2457,24,5
성동구,왕십리도선동,2457,24,5
성동구,금호2.3가동,2457,24,5
성동구,옥수동,2457,24,5
광진구,화양동,3915,13,3
광진구,군자동,3915,13,3
광진구,중곡1동,3915,13,3
광진구,중곡2동,3915,13,3
광진구,중곡3동,3915,13,3
광진구,중곡4동,3915,13,3
광진구,능동,3915,13,3
광진구,구의1동,3915,13,3
광진구,구의2동,3915,13,3
광진구,구의3동,3915,13,3
광진구,광장동,3915,13,3
광진구,자양1동,3915,13,3
광진구,자양2동,3915,13,3
광진구,자양3동,3915,13,3
광진구,자양4동,3915,13,3
동대문구,회기동,3680,15,3
동대문구,휘경1동,3680,15,3
동대문구,휘경2동,3680,15,3
동대문구,청량리동,3680,15,3
동대문구,용신동,3680,15,3
동대문구,제기동,3680,15,3
동대문구,전농1동,3680,15,3
동대문구,전농2동,3680,15,3
동대문구,답십리1동,3680,15,3
동대문구,답십리2동,3680,15,3
동대문구,장안1동,3680,15,3
동대문구,장안2동,3680,15,3
동대문구,이문1동,3680,15,3
동대문구,이문2동,3680,15,3
중랑구,면목2동,4288,9,2
중랑구,면목4동,4288,9,2
중랑구,면목5동,4288,9,2
중랑구,면목7동,4288,9,2
중랑구,상봉1동,4288,9,2
중랑구,상봉2동,4288,9,2
중랑구,중화1동,4288,9,2
중랑구,중화2동,4288,9,2
중랑구,묵1동,4288,9,2
중랑구,묵2동,4288,9,2
중랑구,망우3동,4288,9,2
중랑구,신내1동,4288,9,2
중랑구,신내2동,4288,9,2
중랑구,면목본동,4288,9,2
중랑구,면목3.8동,4288,9,2
중랑구,망우본동,4288,9,2
성북구,돈암1동,3042,22,5
성북구,돈암2동,3042,22,5
성북구,안암동,3042,22,5
성북구,보문동,3042,22,5
성북구,정릉1동,3042,22,5
성북구,정릉2동,3042,22,5
성북구,정릉3동,3042,22,5
성북구,정릉4동,3042,22,5
성북구,길음1동,3042,22,5
성북구,길음2동,3042,22,5
성북구,월곡1동,3042,22,5
