자치구,동,보건소,종합병원,병원+의원,요양병원,치과병원+의원,한방병원+의원,합계
송파구,가락1동,0,0,2,0,2,2,6
송파구,가락2동,0,0,20,0,15,2,37
송파구,가락본동,0,1,33,3,25,24,86
구로구,가리봉동,0,0,4,2,4,2,12
금천구,가산동,0,0,26,0,28,11,65
강서구,가양1동,0,0,37,0,28,18,83
강서구,가양2동,0,0,20,0,7,6,33
강서구,가양3동,0,0,6,0,2,1,9
종로구,가회동,0,0,0,0,3,5,8
은평구,갈현1동,0,1,19,1,14,8,43
은평구,갈현2동,0,0,13,0,8,6,27
강동구,강일동,1,0,8,0,7,2,18
구로구,개봉1동,0,0,15,0,8,7,30
구로구,개봉2동,0,0,18,1,16,8,43
구로구,개봉3동,0,0,12,0,7,3,22
강남구,개포1동,0,0,3,2,2,1,8
강남구,개포2동,0,0,7,0,9,10,26
강남구,개포4동,0,0,16,0,9,8,33
송파구,거여1동,1,0,9,1,8,5,24
송파구,거여2동,0,0,21,0,6,4,31
강동구,고덕1동,0,0,6,0,4,3,13
강동구,고덕2동,0,0,6,0,2,2,10
구로구,고척1동,0,1,12,0,12,9,34
구로구,고척2동,0,0,21,1,8,7,37
마포구,공덕동,0,0,29,0,21,19,69
노원구,공릉1동,0,0,37,1,19,13,70
노원구,공릉2동,0,1,15,0,9,7,32
강서구,공항동,0,1,11,0,6,3,21
광진구,광장동,0,0,11,0,14,7,32
중구,광희동,0,1,13,0,15,3,32
종로구,교남동,0,2,6,0,1,4,13
구로구,구로1동,0,0,7,0,5,3,15
구로구,구로2동,0,1,25,0,15,9,50
구로구,구로3동,1,0,29,0,22,12,64
구로구,구로4동,0,0,31,0,17,15,63
구로구,구로5동,1,0,28,1,14,8,52
은평구,구산동,1,0,13,1,7,6,28
광진구,구의1동,0,0,19,0,9,5,33
광진구,구의2동,0,0,11,0,10,5,26
광진구,구의3동,0,0,30,0,13,11,54
광진구,군자동,0,0,17,0,10,10,37
성동구,금호1가동,0,0,8,0,4,3,15
성동구,금호2.3가동,0,0,18,0,11,7,36
성동구,금호4가동,0,0,15,0,7,6,28
강동구,길동,0,1,47,1,30,24,103
성북구,길음1동,0,0,20,0,20,8,48
성북구,길음2동,0,0,10,1,3,4,18
관악구,낙성대동,0,0,17,0,18,5,40
관악구,난곡동,1,0,15,0,9,7,32
관악구,난향동,0,0,5,0,5,3,13
서대문구,남가좌1동,0,0,17,0,6,4,27
서대문구,남가좌2동,0,0,15,0,8,8,31
용산구,남영동,0,0,18,0,13,4,35
관악구,남현동,0,0,13,0,9,7,29
서초구,내곡동,0,0,6,0,8,3,17
동작구,노량진1동,0,0,13,0,10,8,31
동작구,노량진2동,0,0,7,0,3,4,14
은평구,녹번동,1,0,7,1,6,7,22
강남구,논현1동,0,0,176,0,41,33,250
