자치구,동,인구밀도
종로구,사직동,매우 높음
종로구,삼청동,매우 높음
종로구,부암동,매우 높음
종로구,평창동,매우 높음
종로구,무악동,보통
종로구,교남동,낮음
종로구,가회동,매우 높음
종로구,종로1.2.3.4가동,매우 높음
종로구,종로5·6가동,매우 높음
종로구,이화동,매우 높음
종로구,창신1동,높음
종로구,창신2동,매우낮음
종로구,창신3동,낮음
종로구,숭인1동,낮음
종로구,숭인2동,낮음
종로구,청운효자동,매우 높음
종로구,혜화동,높음
중구,소공동,매우 높음
중구,회현동,매우 높음
중구,명동,매우 높음
중구,필동,매우 높음
중구,장충동,매우 높음
중구,광희동,매우 높음
중구,을지로동,매우 높음
중구,신당5동,낮음
중구,황학동,매우낮음
중구,중림동,낮음
중구,신당동,높음
중구,다산동,낮음
중구,약수동,매우낮음
중구,청구동,매우낮음
중구,동화동,매우낮음
용산구,후암동,보통
용산구,용산2가동,매우 높음
용산구,남영동,매우 높음
용산구,원효로2동,보통
용산구,효창동,보통
용산구,용문동,매우낮음
용산구,이촌1동,매우 높음
용산구,이촌2동,매우 높음
용산구,이태원1동,높음
용산구,이태원2동,매우 높음
용산구,서빙고동,매우 높음
용산구,보광동,보통
용산구,청파동,보통
용산구,원효로1동,낮음
용산구,한강로동,매우 높음
용산구,한남동,매우 높음
성동구,왕십리2동,매우낮음
성동구,마장동,보통
성동구,사근동,매우 높음
성동구,행당1동,낮음
성동구,행당2동,매우낮음
성동구,응봉동,낮음
성동구,금호1가동,매우낮음
성동구,금호4가동,높음
성동구,성수1가1동,매우 높음
성동구,성수1가2동,높음
성동구,성수2가1동,높음
성동구,성수2가3동,매우 높음
성동구,송정동,높음
성동구,용답동,매우 높음
성동구,왕십리도선동,매우낮음
성동구,금호2.3가동,매우낮음
성동구,옥수동,높음
광진구,화양동,보통
광진구,군자동,낮음
광진구,중곡1동,보통
광진구,중곡2동,매우낮음
광진구,중곡3동,낮음
광진구,중곡4동,높음
광진구,능동,매우 높음
광진구,구의1동,매우낮음
광진구,구의2동,높음
광진구,구의3동,낮음
광진구,광장동,높음
광진구,자양1동,매우낮음
광진구,자양2동,높음
광진구,자양3동,보통
광진구,자양4동,높음
동대문구,회기동,높음
동대문구,휘경1동,보통
동대문구,휘경2동,보통
동대문구,청량리동,높음
동대문구,용신동,높음
동대문구,제기동,보통
동대문구,전농1동,보통
동대문구,전농2동,보통
동대문구,답십리1동,매우낮음
동대문구,답십리2동,매우낮음
동대문구,장안1동,낮음
동대문구,장안2동,낮음
동대문구,이문1동,보통
동대문구,이문2동,낮음
중랑구,면목2동,매우낮음
중랑구,면목4동,높음
중랑구,면목5동,높음
중랑구,면목7동,보통
중랑구,상봉1동,낮음
중랑구,상봉2동,낮음
중랑구,중화1동,낮음
중랑구,중화2동,낮음
중랑구,묵1동,낮음
중랑구,묵2동,낮음
중랑구,망우3동,높음
중랑구,신내1동,높음
중랑구,신내2동,보통
중랑구,면목본동,매우낮음
중랑구,면목3.8동,높음
중랑구,망우본동,매우 높음
성북구,돈암1동,낮음
성북구,돈암2동,매우낮음
성북구,안암동,높음
성북구,보문동,낮음
성북구,정릉1동,매우낮음
성북구,정릉2동,보통
성북구,정릉3동,매우 높음
성북구,정릉4동,매우 높음
성북구,길음1동,매우낮음
성북구,길음2동,낮음
성북구,월곡1동,낮음
성북구,월곡2동,높음
성북구,장위1동,낮음
성북구,장위2동,보통
성북구,장위3동,낮음
성북구,성북동,매우 높음
성북구,삼선동,낮음
성북구,동선동,보통
성북구,종암동,낮음
성북구,석관동,보통
강북구,번1동,낮음
강북구,번2동,높음
강북구,번3동,높음
강북구,수유1동,높음
강북구,수유2동,매우낮음
강북구,수유3동,낮음
강북구,삼양동,낮음
강북구,미아동,보통
강북구,송중동,낮음
강북구,송천동,낮음
강북구,삼각산동,매우낮음
강북구,우이동,매우 높음
강북구,인수동,매우 높음
도봉구,쌍문1동,높음
도봉구,쌍문2동,매우낮음
도봉구,쌍문3동,매우낮음
도봉구,쌍문4동,매우낮음
도봉구,방학1동,매우낮음
도봉구,방학2동,낮음
도봉구,방학3동,매우 높음
도봉구,창1동,낮음
도봉구,창2동,낮음
도봉구,창3동,보통
도봉구,창4동,낮음
도봉구,창5동,매우낮음
도봉구,도봉1동,매우 높음
도봉구,도봉2동,매우낮음
노원구,월계1동,보통
노원구,월계2동,높음
노원구,월계3동,낮음
노원구,공릉2동,매우 높음
노원구,하계1동,높음
노원구,하계2동,매우낮음
노원구,중계본동,높음
노원구,중계1동,매우낮음
노원구,중계4동,매우 높음
노원구,상계1동,매우 높음
노원구,상계2동,매우낮음
노원구,상계5동,매우낮음
노원구,상계8동,매우낮음
노원구,상계9동,낮음
노원구,상계10동,보통
노원구,상계3.4동,매우 높음
노원구,상계6.7동,낮음
노원구,중계2.3동,매우낮음
노원구,공릉1동,낮음
은평구,녹번동,보통
은평구,불광1동,높음
은평구,갈현1동,보통
은평구,갈현2동,낮음
은평구,구산동,보통
은평구,대조동,낮음
은평구,응암1동,보통
은평구,응암2동,낮음
은평구,신사1동,매우낮음
은평구,신사2동,보통
은평구,증산동,높음
은평구,수색동,매우 높음
은평구,진관동,매우 높음
은평구,불광2동,보통
은평구,응암3동,매우낮음
은평구,역촌동,매우낮음
서대문구,천연동,높음
서대문구,홍제1동,보통
서대문구,홍제3동,보통
서대문구,홍제2동,높음
서대문구,홍은1동,높음
서대문구,홍은2동,높음
서대문구,남가좌1동,낮음
서대문구,남가좌2동,낮음
서대문구,북가좌1동,매우낮음
서대문구,북가좌2동,매우낮음
서대문구,충현동,높음
서대문구,북아현동,매우낮음
서대문구,신촌동,매우 높음
서대문구,연희동,높음
마포구,용강동,낮음
마포구,대흥동,높음
마포구,염리동,낮음
마포구,신수동,낮음
마포구,서교동,높음
마포구,합정동,매우 높음
마포구,망원1동,높음
마포구,망원2동,낮음
마포구,연남동,보통
마포구,성산1동,보통
마포구,성산2동,높음
마포구,상암동,매우 높음
마포구,도화동,매우낮음
마포구,서강동,높음
마포구,공덕동,매우낮음
마포구,아현동,낮음
양천구,목1동,보통
양천구,목2동,낮음
양천구,목3동,매우낮음
양천구,목4동,매우낮음
양천구,신월1동,낮음
양천구,신월2동,매우낮음
양천구,신월3동,높음
양천구,신월4동,매우낮음
양천구,신월5동,보통
양천구,신월6동,높음
양천구,신월7동,높음
양천구,신정1동,낮음
양천구,신정2동,매우낮음
양천구,신정3동,높음
양천구,신정6동,보통
양천구,신정7동,보통
양천구,목5동,보통
양천구,신정4동,매우낮음
강서구,염창동,보통
강서구,등촌1동,매우낮음
강서구,등촌2동,보통
강서구,등촌3동,매우낮음
강서구,화곡본동,낮음
강서구,화곡2동,매우낮음
강서구,화곡3동,매우낮음
강서구,화곡4동,낮음
강서구,화곡6동,보통
강서구,화곡8동,매우낮음
강서구,가양1동,매우 높음
강서구,가양2동,높음
강서구,가양3동,높음
강서구,발산1동,높음
강서구,공항동,매우 높음
강서구,방화1동,매우낮음
강서구,방화2동,매우 높음
강서구,방화3동,매우 높음
강서구,화곡1동,매우낮음
강서구,우장산동,낮음
구로구,신도림동,보통
구로구,구로1동,보통
구로구,구로3동,보통
구로구,구로4동,매우낮음
구로구,구로5동,낮음
구로구,고척1동,보통
구로구,고척2동,낮음
구로구,개봉2동,매우낮음
구로구,개봉3동,낮음
구로구,오류1동,매우낮음
구로구,오류2동,매우 높음
구로구,수궁동,매우 높음
구로구,가리봉동,매우낮음
구로구,구로2동,높음
구로구,개봉1동,보통
금천구,가산동,매우 높음
금천구,독산1동,보통
금천구,독산2동,매우낮음
금천구,독산3동,낮음
금천구,독산4동,낮음
금천구,시흥1동,보통
금천구,시흥2동,높음
금천구,시흥3동,매우 높음
금천구,시흥4동,보통
금천구,시흥5동,높음
영등포구,여의동,매우 높음
영등포구,당산1동,낮음
영등포구,당산2동,보통
영등포구,양평1동,보통
영등포구,양평2동,매우 높음
영등포구,신길1동,낮음
영등포구,신길3동,매우낮음
영등포구,신길4동,낮음
영등포구,신길5동,보통
영등포구,신길6동,낮음
영등포구,신길7동,보통
영등포구,대림1동,낮음
영등포구,대림2동,매우낮음
영등포구,대림3동,낮음
영등포구,영등포본동,보통
영등포구,영등포동,보통
영등포구,도림동,보통
영등포구,문래동,보통
동작구,노량진2동,보통
동작구,상도1동,낮음
동작구,상도2동,낮음
동작구,상도3동,매우낮음
동작구,상도4동,매우낮음
동작구,사당1동,낮음
동작구,사당3동,낮음
동작구,사당4동,매우낮음
동작구,사당5동,보통
동작구,대방동,보통
동작구,신대방1동,매우낮음
동작구,신대방2동,높음
동작구,흑석동,보통
동작구,노량진1동,보통
동작구,사당2동,매우 높음
관악구,보라매동,매우낮음
관악구,청림동,매우낮음
관악구,행운동,매우낮음
관악구,낙성대동,매우 높음
관악구,중앙동,매우낮음
관악구,인헌동,보통
관악구,남현동,매우 높음
관악구,서원동,매우낮음
관악구,신원동,매우낮음
관악구,서림동,보통
관악구,신사동,매우낮음
관악구,신림동,매우낮음
관악구,난향동,보통
관악구,조원동,낮음
관악구,대학동,매우 높음
관악구,은천동,매우낮음
관악구,성현동,매우낮음
관악구,청룡동,낮음
관악구,난곡동,낮음
관악구,삼성동,매우 높음
관악구,미성동,보통
서초구,서초1동,높음
서초구,서초2동,높음
서초구,서초3동,매우 높음
서초구,서초4동,매우낮음
서초구,잠원동,높음
서초구,반포본동,매우 높음
서초구,반포1동,낮음
서초구,반포2동,매우 높음
서초구,반포3동,높음
서초구,반포4동,높음
서초구,방배본동,낮음
서초구,방배1동,보통
서초구,방배2동,매우 높음
서초구,방배3동,매우 높음
서초구,방배4동,보통
서초구,양재1동,매우 높음
서초구,양재2동,매우 높음
서초구,내곡동,매우 높음
강남구,신사동,매우 높음
강남구,논현1동,높음
강남구,논현2동,높음
강남구,삼성1동,매우 높음
강남구,삼성2동,보통
강남구,대치1동,낮음
강남구,대치4동,낮음
강남구,역삼1동,높음
강남구,역삼2동,낮음
강남구,도곡1동,보통
강남구,도곡2동,낮음
강남구,개포1동,매우 높음
강남구,개포4동,매우 높음
강남구,일원본동,매우 높음
강남구,일원1동,높음
강남구,일원2동,높음
강남구,수서동,매우 높음
강남구,세곡동,매우 높음
강남구,압구정동,매우 높음
강남구,청담동,높음
강남구,대치2동,높음
강남구,개포2동,매우 높음
송파구,풍납1동,보통
송파구,풍납2동,높음
송파구,거여1동,보통
송파구,거여2동,낮음
송파구,마천1동,매우낮음
송파구,마천2동,보통
송파구,방이1동,낮음
송파구,방이2동,낮음
송파구,오륜동,매우 높음
송파구,오금동,보통
송파구,송파1동,낮음
송파구,송파2동,매우낮음
송파구,석촌동,매우낮음
송파구,삼전동,매우낮음
송파구,가락본동,보통
송파구,가락1동,보통
송파구,가락2동,매우낮음
송파구,문정1동,매우낮음
송파구,문정2동,높음
송파구,장지동,보통
송파구,위례동,매우 높음
송파구,잠실본동,낮음
송파구,잠실4동,높음
송파구,잠실6동,매우 높음
송파구,잠실7동,높음
송파구,잠실2동,높음
송파구,잠실3동,보통
강동구,강일동,매우 높음
강동구,상일동,매우 높음
강동구,명일1동,매우낮음
강동구,명일2동,높음
강동구,고덕1동,높음
강동구,고덕2동,매우 높음
강동구,암사2동,매우 높음
강동구,암사3동,매우 높음
강동구,천호1동,매우낮음
강동구,천호3동,매우낮음
강동구,성내1동,매우낮음
강동구,성내2동,매우낮음
강동구,성내3동,낮음
강동구,둔촌1동,매우 높음
강동구,둔촌2동,낮음
강동구,암사1동,매우낮음
강동구,천호2동,보통
강동구,길동,보통
