자치구,동,한적한동네,치안,교육시설,의료시설,노인복지시설,시장과상점가,교통
강남구,개포1동,1,3,1,1,1,1,1
강남구,개포2동,1,3,5,2,1,5,1
강남구,개포4동,1,3,3,3,1,1,1
강남구,논현1동,2,3,1,5,5,5,1
강남구,논현2동,2,3,3,5,1,4,3
강남구,대치1동,5,3,4,5,1,1,3
강남구,대치2동,2,3,3,5,1,5,5
강남구,대치4동,5,3,3,5,5,1,1
강남구,도곡1동,3,3,4,5,1,1,1
강남구,도곡2동,5,3,4,4,1,1,4
강남구,삼성1동,1,3,3,5,5,1,3
강남구,삼성2동,3,3,1,5,1,1,1
강남구,세곡동,1,3,3,3,1,1,1
강남구,수서동,1,3,5,3,1,1,5
강남구,신사동,1,3,3,5,5,4,5
강남구,압구정동,1,3,4,1,5,4,4
강남구,역삼1동,2,3,1,5,5,5,3
강남구,역삼2동,5,3,3,5,5,4,3
강남구,일원1동,2,3,1,2,1,1,3
강남구,일원2동,2,3,4,2,1,1,1
강남구,일원본동,1,3,4,2,1,1,3
강남구,청담동,2,3,4,5,1,5,5
강동구,강일동,1,4,3,2,1,1,1
강동구,고덕1동,2,4,5,1,5,1,1
강동구,고덕2동,1,4,4,1,1,4,4
강동구,길동,3,4,5,5,1,5,4
강동구,둔촌1동,1,4,3,1,1,1,3
강동구,둔촌2동,5,4,4,3,1,1,1
강동구,명일1동,4,4,3,5,1,4,1
강동구,명일2동,2,4,4,4,5,1,1
강동구,상일동,1,4,5,2,1,1,3
강동구,성내1동,4,4,2,3,1,5,3
강동구,성내2동,4,4,1,5,1,4,5
강동구,성내3동,5,4,1,5,1,5,3
강동구,암사1동,4,4,4,4,1,5,1
강동구,암사2동,1,4,3,3,1,1,1
강동구,암사3동,1,4,1,1,1,1,1
강동구,천호1동,4,4,5,3,1,1,3
강동구,천호2동,3,4,1,5,5,4,3
강동구,천호3동,4,4,2,4,1,5,1
강북구,미아동,3,4,5,5,1,1,5
강북구,번1동,5,4,2,4,1,4,1
강북구,번2동,2,4,1,1,1,1,1
강북구,번3동,2,4,1,2,1,1,1
강북구,삼각산동,4,4,1,3,1,1,1
강북구,삼양동,5,4,1,4,1,4,3
강북구,송중동,5,4,1,4,1,1,3
강북구,송천동,5,4,1,4,1,4,3
강북구,수유1동,2,4,4,3,1,5,1
강북구,수유2동,4,4,5,2,1,3,3
강북구,수유3동,5,4,3,5,1,5,1
강북구,우이동,1,4,1,1,1,1,3
강북구,인수동,1,4,1,2,5,5,1
강서구,가양1동,1,4,1,5,1,1,5
강서구,가양2동,2,4,5,3,1,1,4
강서구,가양3동,2,4,4,1,1,1,3
강서구,공항동,1,4,3,2,1,1,5
강서구,등촌1동,4,4,2,4,1,3,3
강서구,등촌2동,3,4,4,1,1,1,1
강서구,등촌3동,4,4,5,4,5,3,4
강서구,발산1동,2,4,3,5,1,4,5
강서구,방화1동,4,4,5,4,1,5,5
강서구,방화2동,1,4,5,2,1,3,5
강서구,방화3동,1,4,2,1,1,1,1
강서구,염창동,3,4,4,4,1,1,5
강서구,우장산동,5,4,1,5,1,1,5
강서구,화곡1동,4,4,3,5,5,4,5
강서구,화곡2동,4,4,1,1,1,1,1
강서구,화곡3동,4,4,3,4,1,4,3
강서구,화곡4동,5,4,4,3,1,5,1
강서구,화곡6동,3,4,2,3,5,1,1
강서구,화곡8동,4,4,1,4,5,5,3
강서구,화곡본동,5,4,5,4,5,4,3
관악구,낙성대동,1,5,1,4,1,1,3
관악구,난곡동,5,5,3,3,1,3,1
관악구,난향동,3,5,1,1,1,1,1
관악구,남현동,1,5,1,3,1,1,5
관악구,대학동,1,5,1,2,1,1,1
관악구,미성동,3,5,1,3,1,1,1
관악구,보라매동,4,5,3,2,5,1,1
관악구,삼성동,1,5,2,2,1,3,1
관악구,서림동,3,5,4,2,1,1,1
관악구,서원동,4,5,1,3,1,5,1
관악구,성현동,4,5,4,2,1,1,1
관악구,신림동,4,5,5,5,1,4,5
관악구,신사동,4,5,1,2,1,5,1
관악구,신원동,4,5,1,2,1,5,1
관악구,은천동,4,5,3,3,1,4,5
관악구,인헌동,3,5,1,4,1,4,1
관악구,조원동,5,5,1,3,1,5,3
관악구,중앙동,4,5,2,5,1,4,1
관악구,청룡동,5,5,5,4,1,4,3
관악구,청림동,4,5,2,1,1,1,1
관악구,행운동,4,5,5,4,1,1,1
광진구,광장동,2,5,5,3,1,1,4
광진구,구의1동,4,5,3,3,1,1,1
광진구,구의2동,2,5,4,2,1,1,1
광진구,구의3동,5,5,1,4,1,1,1
광진구,군자동,5,5,3,4,5,1,3
광진구,능동,1,5,2,2,1,1,4
광진구,자양1동,4,5,3,5,1,5,1
광진구,자양2동,2,5,5,3,1,4,1
광진구,자양3동,3,5,4,3,1,1,1
광진구,자양4동,2,5,3,4,1,5,3
광진구,중곡1동,3,5,1,3,1,5,1
광진구,중곡2동,4,5,2,4,1,1,1
광진구,중곡3동,5,5,4,2,1,1,1
광진구,중곡4동,2,5,3,3,1,4,1
광진구,화양동,3,5,4,4,1,4,5
구로구,가리봉동,4,3,1,1,1,4,4
구로구,개봉1동,3,3,3,3,1,1,5
구로구,개봉2동,4,3,4,4,1,3,1
구로구,개봉3동,5,3,3,2,1,1,1
구로구,고척1동,3,3,3,3,1,4,3
구로구,고척2동,5,3,4,4,1,5,1
구로구,구로1동,3,3,4,1,1,1,3
구로구,구로2동,2,3,2,4,1,5,5
구로구,구로3동,3,3,3,5,1,1,5
구로구,구로4동,4,3,5,5,1,5,5
구로구,구로5동,5,3,3,4,5,1,4
구로구,수궁동,1,3,1,1,5,1,5
구로구,신도림동,3,3,4,4,1,1,5
