자치구,동,지하철 주변 버스정류장 수,
종로구,사직동,8,"경복궁, 광화문, 시청"
종로구,삼청동,0,"안국, 종로3가, 경복궁 "
종로구,부암동,0,"경복궁, 안국, 무악재"
종로구,평창동,0,
종로구,무악동,3,"독립문, 서대문, 홍제"
종로구,교남동,1,"서대문, 경복궁, 충정로"
종로구,가회동,0,"안국, 종각, 경복궁"
종로구,종로1.2.3.4가동,9,"종각, 종로3가, 안국"
종로구,종로5·6가동,0,"종로5가, 동대문"
종로구,이화동,1,"혜화, 동대문, 한성대입구"
종로구,창신1동,3,"동대문, 동묘앞, 창신"
종로구,창신2동,0,"동대문, 동묘앞, 창신"
종로구,창신3동,1,"동대문, 동묘앞, 창신"
종로구,숭인1동,3,"동묘앞, 신설동, 창신"
종로구,숭인2동,0,"동묘앞, 신설동, 창신"
종로구,청운효자동,0,"광화문, 경복궁, 종각"
종로구,혜화동,2,"혜화, 성신여대, 한성대입구"
중구,소공동,3,"시청, 서대문"
중구,회현동,1,"서울, 회현, 명동"
중구,명동,0,"명동, 을지로입구, 시청"
중구,필동,0,"충무로, 동대입구"
중구,장충동,0,"동대입구, 종각, 종로3가"
중구,광희동,2,"동대문역사문화공원, 안국."
중구,을지로동,2,"을지로3가, 을지로입구, 동대문역사문화공원"
중구,신당5동,0,"신당, 약수, 버티고개"
중구,황학동,2,"신당, 동대문, 신설동"
중구,중림동,2,"충정로, 시청, 서울"
중구,신당동,6,"신당, 약수, 버티고개"
중구,다산동,0,"충무로, 동대문, 동대문역사문화공원"
중구,약수동,0,"동대문역사문화공원, 동대입구, 옥수"
중구,청구동,0,"동대문역사문화공원, 동대입구, 신당"
중구,동화동,0,"동대문, 동대문역사문화공원, 동대입구"
용산구,후암동,0,"서울, 충정로역, 명동"
용산구,용산2가동,0,"녹사평, 서울, 명동"
용산구,남영동,5,"서울, 숙대입구, 남영"
용산구,원효로2동,0,"용산, 공덕, 마포"
용산구,효창동,2,"효창공원, 서울, 용산"
용산구,용문동,4,효창공원
용산구,이촌1동,0,"이촌, 용산, 신용산"
용산구,이촌2동,0,"이촌, 용산, 노량진"
